photo_filename,class,xmin,ymin,xmax,ymax,width,height,conf
amsterdam_1398710434928643048_20161205.jpg,Toyota,83.0,559.0,361.0,742.0,1080.0,1080.0,0.8993
amsterdam_1398703956834013614_20161205.jpg,Hard Rock Cafe,124.0,956.0,174.0,1011.0,900.0,1125.0,0.679139
amsterdam_1398708339907465077_20161205.jpg,Puma,307.0,209.0,535.0,472.0,1080.0,1080.0,0.780656
amsterdam_1398784889017612704_20161205.jpg,NFL,997.0,327.0,1046.0,379.0,1080.0,608.0,0.752164
amsterdam_1398800126697615209_20161205.jpg,Puma,737.0,694.0,845.0,737.0,1080.0,1080.0,0.810916
amsterdam_1398800126697615209_20161205.jpg,Puma,338.0,680.0,459.0,729.0,1080.0,1080.0,0.820429
amsterdam_1398800126697615209_20161205.jpg,Puma,486.0,415.0,641.0,530.0,1080.0,1080.0,0.869072
amsterdam_1398808978071107420_20161205.jpg,NFL,602.0,778.0,685.0,874.0,1080.0,1080.0,0.651129
amsterdam_1398825233791834650_20161205.jpg,Under Armour,132.0,263.0,204.0,334.0,1080.0,813.0,0.702866
amsterdam_1398828729903759182_20161205.jpg,Coca-Cola,0.0,641.0,24.0,716.0,1080.0,1080.0,0.634393
amsterdam_1398858615888508270_20161205.jpg,Adidas,270.0,488.0,324.0,584.0,1080.0,1080.0,0.850303
amsterdam_1398858615888508270_20161205.jpg,Adidas,803.0,488.0,856.0,584.0,1080.0,1080.0,0.869348
amsterdam_1398925975933132467_20161206.jpg,Emirates,874.0,440.0,920.0,476.0,1080.0,763.0,0.882815
amsterdam_1398920383138174038_20161206.jpg,Toyota,107.0,423.0,282.0,495.0,750.0,750.0,0.839742
amsterdam_1399027816603115240_20161206.jpg,Adidas,810.0,432.0,856.0,471.0,1080.0,826.0,0.664173
amsterdam_1399127488617047982_20161206.jpg,Starbucks,208.0,653.0,285.0,749.0,1080.0,1080.0,0.918341
amsterdam_1399144118302798708_20161206.jpg,Toyota,614.0,597.0,680.0,635.0,1080.0,1350.0,0.644103
amsterdam_1399151970081946069_20161206.jpg,Adidas,248.0,202.0,906.0,742.0,1080.0,1080.0,0.753535
amsterdam_1399162233938124568_20161206.jpg,Apple Inc-,137.0,506.0,235.0,567.0,1080.0,1080.0,0.754875
amsterdam_1399172920185733172_20161206.jpg,Adidas,209.0,420.0,862.0,606.0,1080.0,1080.0,0.773235
amsterdam_1399184962267422737_20161206.jpg,Adidas,250.0,201.0,294.0,231.0,720.0,720.0,0.818113
amsterdam_1399182450835780879_20161206.jpg,Mercedes-Benz,430.0,390.0,488.0,471.0,1080.0,1080.0,0.666925
amsterdam_1399194029237590366_20161206.jpg,Apple Inc-,322.0,92.0,378.0,127.0,1080.0,721.0,0.662507
amsterdam_1399217104477061565_20161206.jpg,Adidas,518.0,703.0,872.0,967.0,1080.0,969.0,0.844608
amsterdam_1399223075203337164_20161206.jpg,Toyota,857.0,509.0,950.0,575.0,1080.0,691.0,0.688434
amsterdam_1399233367060264926_20161206.jpg,NFL,233.0,1007.0,278.0,1058.0,1080.0,1080.0,0.855724
amsterdam_1399226837595220138_20161206.jpg,NFL,878.0,0.0,989.0,38.0,1080.0,809.0,0.836369
amsterdam_1399234151991713303_20161206.jpg,Puma,469.0,498.0,542.0,542.0,1080.0,1080.0,0.678422
amsterdam_1399242429240433065_20161206.jpg,Toyota,628.0,677.0,925.0,837.0,1080.0,1349.0,0.86534
amsterdam_1399243633995254746_20161206.jpg,Coca-Cola,611.0,809.0,813.0,995.0,1080.0,1349.0,0.937549
amsterdam_1399253862678743525_20161206.jpg,Toyota,93.0,358.0,400.0,492.0,1080.0,809.0,0.877655
amsterdam_1399253862678743525_20161206.jpg,Toyota,702.0,142.0,938.0,236.0,1080.0,809.0,0.88101
amsterdam_1399259321314131676_20161206.jpg,Puma,14.0,717.0,729.0,943.0,1080.0,1080.0,0.65819
amsterdam_1399290521138950018_20161206.jpg,Coca-Cola,700.0,49.0,940.0,280.0,1080.0,1080.0,0.94637
amsterdam_1399310834043423467_20161206.jpg,Coca-Cola,239.0,403.0,553.0,600.0,750.0,750.0,0.719723
amsterdam_1399369805295143961_20161206.jpg,Nike,623.0,1041.0,741.0,1157.0,1080.0,1349.0,0.657504
amsterdam_1399370924302287298_20161206.jpg,Toyota,687.0,366.0,933.0,504.0,1080.0,912.0,0.832922
amsterdam_1399381404064675039_20161206.jpg,Nike,285.0,380.0,329.0,410.0,1080.0,1120.0,0.666891
amsterdam_1399383973444898299_20161206.jpg,Toyota,338.0,325.0,382.0,388.0,640.0,480.0,0.806543
amsterdam_1399408394594472408_20161206.jpg,Toyota,128.0,504.0,202.0,600.0,600.0,600.0,0.831481
amsterdam_1399450207318312732_20161206.jpg,Apple Inc-,219.0,246.0,294.0,290.0,1080.0,810.0,0.80052
amsterdam_1399464164476374115_20161206.jpg,Toyota,987.0,3.0,1078.0,196.0,1080.0,1080.0,0.717883
amsterdam_1399473852295607288_20161206.jpg,Hard Rock Cafe,810.0,530.0,911.0,559.0,1080.0,720.0,0.784001
amsterdam_1399495090792037487_20161206.jpg,Puma,392.0,5.0,800.0,273.0,1080.0,810.0,0.926895
amsterdam_1399510845880658421_20161206.jpg,Toyota,866.0,303.0,930.0,337.0,985.0,985.0,0.716321
amsterdam_1399533925977675959_20161206.jpg,NFL,295.0,221.0,334.0,268.0,768.0,817.0,0.808169
