photo_filename,class,xmin,ymin,xmax,ymax,width,height,conf
sp_1682311004166119141_20180101.jpg,Toyota,381.0,662.0,462.0,695.0,1080.0,1080.0,0.837292
sp_1682314835781468369_20180101.jpg,Toyota,928.0,758.0,994.0,876.0,1080.0,1080.0,0.882337
sp_1682326891754495162_20180101.jpg,NFL,403.0,633.0,446.0,683.0,1080.0,1350.0,0.666357
sp_1682323102233834018_20180101.jpg,The North Face,555.0,1234.0,788.0,1348.0,1080.0,1350.0,0.630435
sp_1682327220653528514_20180101.jpg,NFL,572.0,532.0,621.0,597.0,1080.0,1350.0,0.672271
sp_1682346985170381983_20180101.jpg,Toyota,704.0,420.0,789.0,454.0,960.0,960.0,0.766809
sp_1682359053214727323_20180101.jpg,NFL,668.0,309.0,820.0,717.0,821.0,821.0,0.655956
sp_1682359075117925987_20180101.jpg,The North Face,208.0,187.0,805.0,478.0,1080.0,1080.0,0.675309
sp_1682359258334044156_20180101.jpg,Toyota,78.0,428.0,122.0,452.0,1080.0,810.0,0.696951
sp_1682375090850111944_20180101.jpg,Nike,231.0,116.0,840.0,920.0,1080.0,1080.0,0.714729
sp_1682399241550722984_20180101.jpg,Under Armour,933.0,86.0,1016.0,175.0,1080.0,1350.0,0.636856
sp_1682403036482516411_20180101.jpg,Toyota,229.0,970.0,334.0,1028.0,1024.0,1280.0,0.744448
sp_1682406950707272995_20180101.jpg,Toyota,608.0,551.0,668.0,597.0,972.0,972.0,0.643769
sp_1682411201893929772_20180101.jpg,Toyota,236.0,734.0,398.0,1016.0,1080.0,1349.0,0.707402
sp_1682422886352049627_20180101.jpg,NFL,633.0,384.0,670.0,432.0,1080.0,1350.0,0.725612
sp_1682438842013175127_20180101.jpg,Adidas,616.0,791.0,825.0,1009.0,1080.0,1080.0,0.896503
sp_1682459258618421082_20180101.jpg,Coca-Cola,91.0,0.0,205.0,69.0,900.0,1125.0,0.733239
sp_1682466374356407194_20180101.jpg,NFL,510.0,471.0,555.0,526.0,1080.0,1080.0,0.782122
sp_1682482655579829952_20180101.jpg,Mercedes-Benz,935.0,312.0,1007.0,376.0,1080.0,1080.0,0.66456
sp_1682482655579829952_20180101.jpg,Mercedes-Benz,83.0,277.0,172.0,364.0,1080.0,1080.0,0.821409
sp_1682482936858202207_20180101.jpg,Adidas,476.0,527.0,597.0,717.0,1080.0,1350.0,0.891762
